Chemin,Instance déliberatrice,Identifiant,Majoration,Type recours,Personnalité,Décision,Code juridiction,Nom juridiction,Date,Lien fichier
../data/raw/DTA/2023/12/TA93/DTA_2111191_20231208.xml,Tribunal administratif,2111191,40%,Plein Contentieux,Personne physique,Satisfaction Partielle,93,Tribunal Administratif de Montreuil,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA93/DTA_2111191_20231208.xml
../data/raw/DTA/2023/12/TA69/DTA_2206247_20231219.xml,Tribunal administratif,2206247,40%,Plein Contentieux,Personne morale,Rejet,69,Tribunal Administratif de Lyon,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA69/DTA_2206247_20231219.xml
../data/raw/DTA/2023/12/TA69/DTA_2204390_20231212.xml,Tribunal administratif,2204390,40%,Plein Contentieux,Personne physique,Satisfaction Partielle,69,Tribunal Administratif de Lyon,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA69/DTA_2204390_20231212.xml
../data/raw/DTA/2023/12/TA69/DTA_2205848_20231219.xml,Tribunal administratif,2205848,40%,Plein Contentieux,Personne morale,Satisfaction Totale,69,Tribunal Administratif de Lyon,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA69/DTA_2205848_20231219.xml
../data/raw/DTA/2023/12/TA51/DTA_2100350_20231214.xml,Tribunal administratif,2100350,80%,Plein Contentieux,Personne morale,Satisfaction Partielle,51,Tribunal Administratif de Châlons-en-Champagne,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA51/DTA_2100350_20231214.xml
../data/raw/DTA/2023/12/TA80/DTA_2200475_20231222.xml,Tribunal administratif,2200475,40%,Plein Contentieux,Personne morale,Rejet,80,Tribunal Administratif d'Amiens,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA80/DTA_2200475_20231222.xml
../data/raw/DTA/2023/12/TA80/DTA_2200810_20231222.xml,Tribunal administratif,2200810,40%,Plein Contentieux,Personne morale,Rejet,80,Tribunal Administratif d'Amiens,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA80/DTA_2200810_20231222.xml
../data/raw/DTA/2023/12/TA80/DTA_2200101_20231222.xml,Tribunal administratif,2200101,40%,Plein Contentieux,Personne morale,Rejet,80,Tribunal Administratif d'Amiens,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA80/DTA_2200101_20231222.xml
../data/raw/DTA/2023/12/TA45/DTA_2102396_20231220.xml,Tribunal administratif,2102396,40%,Plein Contentieux,Personne physique,Rejet,45,Tribunal Administratif d'Orléans,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA45/DTA_2102396_20231220.xml
../data/raw/DTA/2023/12/TA44/DTA_2001580_20231201.xml,Tribunal administratif,2001580,40%,Plein Contentieux,Personne physique,Rejet,44,Tribunal Administratif de Nantes,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA44/DTA_2001580_20231201.xml
../data/raw/DTA/2023/12/TA75/DTA_2116054_20231211.xml,Tribunal administratif,2116054,40%,Other,Personne physique,Rejet,75,Tribunal Administratif de Paris,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA75/DTA_2116054_20231211.xml
../data/raw/DTA/2023/12/TA75/DTA_2109886_20231221.xml,Tribunal administratif,2109886,40%,Other,Personne physique,Rejet,75,Tribunal Administratif de Paris,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA75/DTA_2109886_20231221.xml
../data/raw/DTA/2023/12/TA75/DTA_2110599_20231221.xml,Tribunal administratif,2110599,100%,Other,Personne morale,Rejet,75,Tribunal Administratif de Paris,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA75/DTA_2110599_20231221.xml
../data/raw/DTA/2023/12/TA75/DTA_2113487_20231201.xml,Tribunal administratif,2113487,40%,Other,Personne morale,Satisfaction Partielle,75,Tribunal Administratif de Paris,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA75/DTA_2113487_20231201.xml
../data/raw/DTA/2023/12/TA75/DTA_2116406_20231211.xml,Tribunal administratif,2116406,40%,Other,Personne morale,Satisfaction Partielle,75,Tribunal Administratif de Paris,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA75/DTA_2116406_20231211.xml
../data/raw/DTA/2023/12/TA75/DTA_2105244_20231207.xml,Tribunal administratif,2105244,40%,Other,Personne morale,Rejet,75,Tribunal Administratif de Paris,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA75/DTA_2105244_20231207.xml
../data/raw/DTA/2023/12/TA75/DTA_2109604_20231221.xml,Tribunal administratif,2109604,40%,Other,Personne morale,Satisfaction Partielle,75,Tribunal Administratif de Paris,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA75/DTA_2109604_20231221.xml
../data/raw/DTA/2023/12/TA75/DTA_2327679_20231211.xml,Tribunal administratif,2327679,80%,Other,Personne physique,Satisfaction Partielle,75,Tribunal Administratif de Paris,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA75/DTA_2327679_20231211.xml
../data/raw/DTA/2023/12/TA75/DTA_2015145_20231220.xml,Tribunal administratif,2015145,40%,Other,Personne morale,Satisfaction Partielle,75,Tribunal Administratif de Paris,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA75/DTA_2015145_20231220.xml
../data/raw/DTA/2023/12/TA75/DTA_2112901_20231215.xml,Tribunal administratif,2112901,40%,Other,Personne physique,Rejet,75,Tribunal Administratif de Paris,2023-12,https://raw.githubusercontent.com/78jeanlebret/legal_data_analysis/main/data/final/DTA/2023/12/TA75/DTA_2112901_20231215.xml
